Gene	rsID	Chr	Position	Type	Function
MAP3K1	rs2530994381	5	5:56896146	ins	3_prime_UTR_variant,downstream_transcript_variant,genic_downstream_transcript_variant,500B_downstream_variant
MAP3K14	rs2538071311	17	17:45274410	snv	intron_variant
MAP3K14	rs2530280365	17	17:45291314	del	intron_variant
MAP3K3	rs2534952948	17	17:63691059	snv	intron_variant,2KB_upstream_variant,3_prime_UTR_variant,upstream_transcript_variant
MAP3K3	rs2531601569	17	17:63645907	delins	intron_variant,genic_upstream_transcript_variant
MAP3K7	rs2534282002	6	6:90534765	snv	intron_variant
MAP3K7	rs2534281972	6	6:90534752	snv	intron_variant
MAPK1	rs2517547756	22	22:21867672	delins	2KB_upstream_variant,upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
MAPK1	rs2517547748	22	22:21867668	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
MAPK3	rs2543715369	16	16:30123214	delins	non_coding_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant
MAPK3	rs2543715363	16	16:30123214	delins	non_coding_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant
MAST1	rs2525172144	2	2:121584365	snv	genic_upstream_transcript_variant,intron_variant
MAST1	rs2524435743	2	2:121478727	del	intron_variant
MAST2	rs2526322475	1	1:45942100	snv	intron_variant,genic_upstream_transcript_variant
MAST2	rs2526317764	1	1:45941914	snv	intron_variant,genic_upstream_transcript_variant
MAX	rs2549209449	14	14:65077814	del	intron_variant,genic_downstream_transcript_variant
MAX	rs2536387120	14	14:65077241	del	intron_variant,downstream_transcript_variant,genic_downstream_transcript_variant
MCL1	rs2526868677	1	1:150579608	snv	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant
MCL1	rs2526868661	1	1:150579606	del	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant
MDM2	rs2502786239	12	12:68842874	delins	intron_variant,3_prime_UTR_variant,genic_downstream_transcript_variant
MDM2	rs2499318947	12	12:68850664	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,intron_variant
MDM4	rs2527352027	1	1:204558113	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
MDM4	rs2527351681	1	1:204558036	del	genic_downstream_transcript_variant,3_prime_UTR_variant
MEAF6	rs2522259276	1	1:37514765	delins	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant
MEAF6	rs2522258949	1	1:37514757	delins	5_prime_UTR_variant,non_coding_transcript_variant
MECOM	rs2550193920	3	3:169304891	snv	genic_upstream_transcript_variant,intron_variant
MECOM	rs2550193880	3	3:169304857	snv	genic_upstream_transcript_variant,intron_variant
MED12	rs2521418636	X	X:71128278	del	intron_variant
MED12	rs2519726322	X	X:71142441	snv	downstream_transcript_variant,3_prime_UTR_variant,500B_downstream_variant
MEF2B	rs2514222465	19	19:19160588	delins	intron_variant
MEF2B	rs2514222445	19	19:19160575	snv	intron_variant
MEF2D	rs2525521129	1	1:156500696	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
MEF2D	rs2525518535	1	1:156500492	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
MEN1	rs2497311152	11	11:64811268	snv	upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
MEN1	rs2497311108	11	11:64811266	snv	upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
MET	rs2525367197	7	7:116699107	delins	frameshift_variant,intron_variant,coding_sequence_variant
MET	rs2485882751	7	7:116798372	del	genic_downstream_transcript_variant,3_prime_UTR_variant
MITF	rs2471935859	3	3:69792680	del	genic_upstream_transcript_variant,intron_variant
MITF	rs2471935528	3	3:69792552	snv	genic_upstream_transcript_variant,intron_variant
MKL1	rs2550925356	22	22:40424165	delins	intron_variant
MKL1	rs2548595041	22	22:40490581	delins	intron_variant,genic_upstream_transcript_variant
MKL2	rs2547174337	16	16:14246373	del	intron_variant,genic_downstream_transcript_variant
MKL2	rs2547078240	16	16:14212287	delins	intron_variant,genic_downstream_transcript_variant
MLH1	rs2525697053	3	3:37047587	delins	coding_sequence_variant,frameshift_variant,intron_variant
MLH1	rs2471515034	3	3:37050832	delins	3_prime_UTR_variant
MLH3	rs2531183704	14	14:75039848	del	intron_variant,downstream_transcript_variant,genic_downstream_transcript_variant
MLH3	rs2528974182	14	14:75047909	delins	frameshift_variant,coding_sequence_variant,non_coding_transcript_variant
MLLT1	rs2512393904	19	19:6279957	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
MLLT1	rs2512393893	19	19:6279952	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
MLLT10	rs2535071881	10	10:21562843	del	genic_downstream_transcript_variant,intron_variant
MLLT10	rs2528928973	10	10:21724428	delins	genic_downstream_transcript_variant,intron_variant
MLLT4	rs2546467633	6	6:167891460	delins	intron_variant
MLLT4	rs2541637737	6	6:167848845	delins	intron_variant
MN1	rs2517776068	22	22:27801673	snv	5_prime_UTR_variant
MN1	rs2517776051	22	22:27801647	snv	5_prime_UTR_variant
MPL	rs2545691121	1	1:43354370	snv	downstream_transcript_variant,3_prime_UTR_variant,500B_downstream_variant
MPL	rs2545691118	1	1:43354369	snv	downstream_transcript_variant,3_prime_UTR_variant,500B_downstream_variant
MRE11	rs2531482062	11	11:94492780	snv	2KB_upstream_variant,upstream_transcript_variant,splice_donor_variant,genic_upstream_transcript_variant
MRE11	rs2530175564	11	11:94488472	del	genic_upstream_transcript_variant,intron_variant
MSH2	rs2530141186	2	2:47709802	snv	genic_downstream_transcript_variant,non_coding_transcript_variant
MSH2	rs2530140989	2	2:47709704	ins	genic_downstream_transcript_variant,non_coding_transcript_variant
MSH3	rs2546810742	5	5:80838222	delins	intron_variant
MSH3	rs2546810712	5	5:80838170	snv	intron_variant
MSH6	rs2530969877	2	2:47810093	delins	intron_variant
MSH6	rs2530969824	2	2:47810088	snv	intron_variant
MSMB	rs2496598762	10	10:46046262	delins	5_prime_UTR_variant
MSMB	rs2496598714	10	10:46046258	snv	5_prime_UTR_variant
MTOR	rs2523497437	1	1:11262491	snv	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
MTOR	rs2523497243	1	1:11262472	delins	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
MUTYH	rs2524715106	1	1:45340439	snv	non_coding_transcript_variant,intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
MUTYH	rs2524715043	1	1:45340438	snv	non_coding_transcript_variant,intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
MYB	rs2526758010	6	6:135203510	delins	genic_downstream_transcript_variant,intron_variant
MYB	rs2524877119	6	6:135209839	del	genic_downstream_transcript_variant,intron_variant
MYBL1	rs2545861762	8	8:66602708	del	intron_variant
MYBL1	rs2526767883	8	8:66597845	del	intron_variant
MYC	rs2536820258	8	8:127742935	snv	3_prime_UTR_variant
MYC	rs2536819675	8	8:127742830	snv	3_prime_UTR_variant
MYCL	rs2522777754	1	1:39901914	snv	5_prime_UTR_variant
MYCL	rs2522777726	1	1:39901910	snv	5_prime_UTR_variant
MYCN	rs2527943013	2	2:15946973	snv	3_prime_UTR_variant
MYCN	rs2527942988	2	2:15946950	snv	3_prime_UTR_variant
MYD88	rs2471611369	3	3:38143006	snv	non_coding_transcript_variant,3_prime_UTR_variant
MYD88	rs2471611351	3	3:38142997	snv	non_coding_transcript_variant,3_prime_UTR_variant
MYH11	rs2547795150	16	16:15715877	snv	intron_variant,genic_downstream_transcript_variant
MYH11	rs2540368308	16	16:15854867	snv	intron_variant
MYH9	rs2526628911	22	22:36354953	del	intron_variant
MYH9	rs2526498849	22	22:36302292	snv	intron_variant
MYOD1	rs2497722389	11	11:17722051	snv	3_prime_UTR_variant
MYOD1	rs2497722368	11	11:17722036	snv	3_prime_UTR_variant
NBN	rs2488381275	8	8:89984665	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
NBN	rs2488381255	8	8:89984663	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
NCOA1	rs2467626576	2	2:24610520	delins	intron_variant
NCOA1	rs2467626174	2	2:24610477	snv	intron_variant
NCOA2	rs2546816134	8	8:70339059	del	intron_variant,genic_upstream_transcript_variant
NCOA2	rs2540548002	8	8:70256734	snv	intron_variant,genic_upstream_transcript_variant
NCOA3	rs2535571201	20	20:47511537	delins	intron_variant
NCOA3	rs2530782728	20	20:47523513	snv	intron_variant
NCOR1	rs2552136696	17	17:16215531	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant,2KB_upstream_variant
NCOR1	rs2552136691	17	17:16215526	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant,2KB_upstream_variant
NCOR2	rs2548042102	12	12:124567611	delins	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant
NCOR2	rs2548042085	12	12:124567604	snv	5_prime_UTR_variant
NF1	rs2547951590	17	17:31259221	del	genic_downstream_transcript_variant,intron_variant
NF1	rs2545325260	17	17:31248844	del	genic_downstream_transcript_variant,intron_variant
NF2	rs2547669181	22	22:29648163	del	intron_variant
NF2	rs2545577654	22	22:29672081	del	intron_variant
NFE2	rs2547643771	12	12:54297687	delins	genic_upstream_transcript_variant,upstream_transcript_variant,intron_variant
NFE2	rs2540600905	12	12:54300884	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
NFE2L2	rs2524063990	2	2:177263434	snv	intron_variant,5_prime_UTR_variant
NFE2L2	rs2468353305	2	2:177264710	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
NFKB2	rs2544608725	10	10:102402526	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,downstream_transcript_variant,500B_downstream_variant
NFKB2	rs2544608704	10	10:102402524	snv	3_prime_UTR_variant,downstream_transcript_variant,500B_downstream_variant
NFKBIA	rs2502189566	14	14:35404745	snv	5_prime_UTR_variant
NFKBIA	rs2502189559	14	14:35404742	del	5_prime_UTR_variant
NFKBIE	rs2534386757	6	6:44265546	snv	5_prime_UTR_variant,genic_downstream_transcript_variant,intron_variant
NFKBIE	rs2534386702	6	6:44265536	snv	5_prime_UTR_variant,genic_downstream_transcript_variant,intron_variant
NKX2-1	rs2502641293	14	14:36520230	delins	5_prime_UTR_variant,2KB_upstream_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
NKX2-1	rs2502641284	14	14:36520231	snv	5_prime_UTR_variant,2KB_upstream_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
NOTCH1	rs2540495372	9	9:136546027	snv	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant,downstream_transcript_variant,genic_upstream_transcript_variant,500B_downstream_variant
NOTCH1	rs2540495274	9	9:136545973	snv	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant,downstream_transcript_variant,genic_upstream_transcript_variant,500B_downstream_variant
NOTCH2	rs2526442266	1	1:120000559	snv	intron_variant
NOTCH2	rs2526442205	1	1:120000543	ins	intron_variant
NOTCH3	rs2536699579	19	19:15161490	del	coding_sequence_variant,frameshift_variant
NOTCH3	rs2512676704	19	19:15200985	snv	5_prime_UTR_variant
NPM1	rs2480097430	5	5:171410856	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
NPM1	rs2480097416	5	5:171410849	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
NR4A3	rs2490315534	9	9:99866868	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
NR4A3	rs2490315515	9	9:99866851	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
NRAS	rs2526460618	1	1:114716755	delins	500B_downstream_variant,5_prime_UTR_variant,downstream_transcript_variant,2KB_upstream_variant,upstream_transcript_variant
NRAS	rs2526460437	1	1:114716730	snv	5_prime_UTR_variant,downstream_transcript_variant,500B_downstream_variant
NRG1	rs2538866341	8	8:32454314	snv	intron_variant,genic_upstream_transcript_variant
NRG1	rs2538865930	8	8:32454192	snv	intron_variant,genic_upstream_transcript_variant
NSD1	rs2546142761	5	5:177236084	delins	intron_variant
NSD1	rs2480858390	5	5:177300211	delins	3_prime_UTR_variant,500B_downstream_variant,downstream_transcript_variant
NSD2	rs2529314554	4	4:1979023	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
NSD2	rs2474812581	4	4:1982183	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
NT5C2	rs2540452740	10	10:103193270	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
NT5C2	rs2540451176	10	10:103193202	snv	genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant
NTHL1	rs2548332817	16	16:2047827	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant
NTHL1	rs2548332676	16	16:2047816	snv	missense_variant,2KB_upstream_variant,coding_sequence_variant,5_prime_UTR_variant,upstream_transcript_variant
NTRK1	rs2525670762	1	1:156881840	snv	3_prime_UTR_variant
NTRK1	rs2525670753	1	1:156881837	delins	3_prime_UTR_variant
NTRK2	rs2534956251	9	9:84934395	del	genic_downstream_transcript_variant,intron_variant
NTRK2	rs2533065843	9	9:84811784	delins	3_prime_UTR_variant,intron_variant
NTRK3	rs2551302450	15	15:88177864	snv	genic_upstream_transcript_variant,intron_variant
NTRK3	rs2551302385	15	15:88177797	snv	genic_upstream_transcript_variant,intron_variant
NUMBL	rs2515466074	19	19:40690650	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
NUMBL	rs2515466052	19	19:40690634	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
NUP214	rs2538619183	9	9:131234598	delins	3_prime_UTR_variant
NUP214	rs2538619141	9	9:131234574	snv	3_prime_UTR_variant
NUP93	rs2544067930	16	16:56836887	snv	intron_variant
NUP93	rs2544067886	16	16:56836853	snv	intron_variant
NUP98	rs2537900585	11	11:3754210	delins	intron_variant
NUP98	rs2530563981	11	11:3785198	snv	intron_variant
NUTM1	rs2510109047	15	15:34357725	snv	3_prime_UTR_variant
NUTM1	rs2510109037	15	15:34357718	snv	3_prime_UTR_variant
OTX2	rs2508676061	14	14:56806117	snv	upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant
OTX2	rs2503933542	14	14:56810436	snv	non_coding_transcript_variant,2KB_upstream_variant,upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
PAG1	rs2536765146	8	8:81111985	snv	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
PAG1	rs2536765050	8	8:81111956	snv	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
PAK3	rs2550581647	13	13:111305702	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PAK3	rs2550581638	13	13:111305700	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PALB2	rs2547780298	16	16:23623502	delins	intron_variant
PALB2	rs2547573553	16	16:23636396	del	intron_variant
PAX3	rs2525327403	2	2:222200826	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PAX3	rs2469497941	2	2:222298994	snv	intron_variant,5_prime_UTR_variant
PAX5	rs2522156865	9	9:36895560	del	intron_variant
PAX5	rs2494683519	9	9:37034263	snv	5_prime_UTR_variant,non_coding_transcript_variant
PAX7	rs2522179542	1	1:18748865	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PAX7	rs2522179536	1	1:18748864	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PAX8	rs2467100448	2	2:113278919	snv	5_prime_UTR_variant
PAX8	rs2467100439	2	2:113278917	snv	5_prime_UTR_variant
PBRM1	rs2552104636	3	3:52685912	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant,2KB_upstream_variant
PBRM1	rs2552104631	3	3:52685907	delins	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant,2KB_upstream_variant
PDCD1	rs2469784228	2	2:241858890	delins	2KB_upstream_variant,upstream_transcript_variant,5_prime_UTR_variant
PDCD1	rs2469784223	2	2:241858887	delins	2KB_upstream_variant,upstream_transcript_variant,5_prime_UTR_variant
PDCD1LG2	rs2536004626	9	9:5537019	snv	genic_downstream_transcript_variant,intron_variant
PDCD1LG2	rs2524323379	9	9:5568902	snv	genic_downstream_transcript_variant,intron_variant
PDGFB	rs2517778682	22	22:39244958	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
PDGFB	rs2517778571	22	22:39244896	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
PDGFRA	rs2550617058	4	4:54273240	del	intron_variant
PDGFRA	rs2545008895	4	4:54285691	snv	genic_downstream_transcript_variant,intron_variant
PDGFRB	rs2527544755	5	5:150123130	delins	coding_sequence_variant,genic_downstream_transcript_variant,frameshift_variant
PDGFRB	rs2481307791	5	5:150155844	snv	non_coding_transcript_variant,5_prime_UTR_variant
PDK1	rs2537802505	16	16:2557789	del	upstream_transcript_variant,coding_sequence_variant,genic_upstream_transcript_variant,frameshift_variant
PDK1	rs2528492527	16	16:2539078	del	genic_upstream_transcript_variant,upstream_transcript_variant,intron_variant
PHF1	rs2537229647	6	6:33416433	snv	genic_downstream_transcript_variant,non_coding_transcript_variant,2KB_upstream_variant,3_prime_UTR_variant,500B_downstream_variant,upstream_transcript_variant,downstream_transcript_variant
PHF1	rs2537229538	6	6:33416427	del	genic_downstream_transcript_variant,non_coding_transcript_variant,2KB_upstream_variant,3_prime_UTR_variant,500B_downstream_variant,upstream_transcript_variant,downstream_transcript_variant
PHF6	rs2520689750	X	X:134428789	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PHF6	rs2520689711	X	X:134428770	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PHOX2B	rs2552097235	4	4:41748717	snv	intron_variant,5_prime_UTR_variant
PHOX2B	rs2552097233	4	4:41748714	snv	intron_variant,5_prime_UTR_variant
PIGA	rs2519336178	X	X:15335552	snv	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
PIGA	rs2519336168	X	X:15335548	snv	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
PIK3C2B	rs2526902205	1	1:204494763	snv	5_prime_UTR_variant,coding_sequence_variant,missense_variant
PIK3C2B	rs2526901814	1	1:204494716	snv	5_prime_UTR_variant,coding_sequence_variant,synonymous_variant
PIK3CA	rs2473905602	3	3:179206497	snv	intron_variant
PIK3CA	rs2473905395	3	3:179206351	snv	intron_variant
PIK3CB	rs2529174756	3	3:138658242	delins	genic_downstream_transcript_variant,intron_variant
PIK3CB	rs2473687856	3	3:138834920	snv	upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
PIK3CD	rs2525293892	1	1:9729062	snv	downstream_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
PIK3CD	rs2525293443	1	1:9729048	snv	downstream_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
PIK3CG	rs2532085936	7	7:106888576	snv	genic_downstream_transcript_variant,intron_variant
PIK3CG	rs2484931014	7	7:106908975	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PIK3R1	rs2531049984	5	5:68301782	snv	3_prime_UTR_variant
PIK3R1	rs2531049548	5	5:68301694	snv	3_prime_UTR_variant
PIK3R2	rs2546723197	19	19:18157754	del	intron_variant
PIK3R2	rs2513575427	19	19:18170469	snv	3_prime_UTR_variant,non_coding_transcript_variant
PIM1	rs2480896924	6	6:37175424	delins	500B_downstream_variant,3_prime_UTR_variant,downstream_transcript_variant
PIM1	rs2480896773	6	6:37175339	snv	3_prime_UTR_variant
PKN1	rs2547749430	19	19:14457376	del	intron_variant
PKN1	rs2547139976	19	19:14445651	del	intron_variant
PLAG1	rs2487141102	8	8:56180773	snv	intron_variant,genic_upstream_transcript_variant
PLAG1	rs2487140957	8	8:56180660	snv	intron_variant,genic_upstream_transcript_variant
PLCG1	rs2549692623	20	20:41151250	del	intron_variant
PLCG1	rs2544699560	20	20:41164289	snv	intron_variant
PLCG2	rs2549146463	16	16:81949176	delins	intron_variant
PLCG2	rs2545712864	16	16:81910393	delins	intron_variant
PML	rs2505591381	15	15:74047813	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PML	rs2505591249	15	15:74047732	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PMS1	rs2528234904	2	2:189792719	del	genic_upstream_transcript_variant,intron_variant
PMS1	rs2469859984	2	2:189877626	snv	2KB_upstream_variant,non_coding_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant,upstream_transcript_variant
PMS2	rs2536715307	7	7:6009099	snv	genic_upstream_transcript_variant,upstream_transcript_variant,2KB_upstream_variant,non_coding_transcript_variant
PMS2	rs2536715045	7	7:6009096	snv	genic_upstream_transcript_variant,upstream_transcript_variant,2KB_upstream_variant,non_coding_transcript_variant
POLD1	rs2549597488	19	19:50399052	del	non_coding_transcript_variant,coding_sequence_variant,frameshift_variant
POLD1	rs2529831608	19	19:50411954	snv	intron_variant
POLE	rs2542222886	12	12:132687337	snv	genic_upstream_transcript_variant,2KB_upstream_variant,upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant
POLE	rs2542222861	12	12:132687335	snv	genic_upstream_transcript_variant,2KB_upstream_variant,upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant
POLR2A	rs2545897140	17	17:7499521	delins	intron_variant
POLR2A	rs2530364001	17	17:7498017	snv	intron_variant
POT1	rs2538697455	7	7:124842856	delins	frameshift_variant,coding_sequence_variant,non_coding_transcript_variant
POT1	rs2485674257	7	7:124929813	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant
PPARG	rs2471126864	3	3:12434334	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PPARG	rs2471126837	3	3:12434332	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PPM1D	rs2544472780	17	17:60666273	delins	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
PPM1D	rs2544472752	17	17:60666223	delins	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
PPP2R1A	rs2528337553	19	19:52212890	del	intron_variant
PPP2R1A	rs2514112986	19	19:52229439	snv	upstream_transcript_variant,2KB_upstream_variant,3_prime_UTR_variant,non_coding_transcript_variant
PRDM1	rs2482338684	6	6:106109935	delins	3_prime_UTR_variant
PRDM1	rs2482338658	6	6:106109921	snv	3_prime_UTR_variant
PRDM16	rs2524003041	1	1:3438619	snv	3_prime_UTR_variant
PRDM16	rs2524002939	1	1:3438567	snv	3_prime_UTR_variant
PREX2	rs2536787399	8	8:68236968	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PREX2	rs2536787286	8	8:68236769	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
PRKACA	rs2548348237	17	17:66661133	del	intron_variant
PRKACA	rs2544846209	17	17:66648106	del	intron_variant
PRKAR1A	rs2533177132	17	17:68489226	del	intron_variant,genic_upstream_transcript_variant
PRKAR1A	rs2510140529	17	17:68493443	snv	genic_upstream_transcript_variant,intron_variant
PRKCA	rs2548348237	17	17:66661133	del	intron_variant
PRKCA	rs2544846209	17	17:66648106	del	intron_variant
PRKCB	rs2538985217	16	16:23981731	del	intron_variant
PRKCB	rs2528709002	16	16:24063416	snv	intron_variant
PRKCI	rs2474250979	3	3:170305966	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PRKCI	rs2474250975	3	3:170305951	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PRKDC	rs2551882765	8	8:47960126	snv	upstream_transcript_variant,initiator_codon_variant,2KB_upstream_variant,missense_variant
PRKDC	rs2551882764	8	8:47960125	snv	upstream_transcript_variant,initiator_codon_variant,2KB_upstream_variant,missense_variant
PRKN	rs2547209884	6	6:162575844	snv	intron_variant,genic_upstream_transcript_variant
PRKN	rs2547209857	6	6:162575777	delins	intron_variant,genic_upstream_transcript_variant
PRPF40B	rs2547803213	12	12:49644653	delins	3_prime_UTR_variant,genic_downstream_transcript_variant
PRPF40B	rs2547803134	12	12:49644625	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PRPF8	rs2547497223	17	17:1673268	del	intron_variant
PRPF8	rs2543792073	17	17:1684863	snv	5_prime_UTR_variant
PRSS8	rs2544187385	16	16:31135722	snv	5_prime_UTR_variant
PRSS8	rs2544187375	16	16:31135716	snv	5_prime_UTR_variant
PTCH1	rs2538430075	9	9:95516966	delins	5_prime_UTR_variant,genic_upstream_transcript_variant
PTCH1	rs2538430072	9	9:95516965	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
PTEN	rs2535725197	10	10:87952076	del	intron_variant
PTEN	rs2530366845	10	10:87966930	delins	3_prime_UTR_variant
PTK2B	rs2524412759	8	8:27437732	del	intron_variant
PTK2B	rs2490493026	8	8:27459384	snv	downstream_transcript_variant,500B_downstream_variant,3_prime_UTR_variant
PTPN11	rs2547525415	12	12:112473636	snv	intron_variant
PTPN11	rs2540484899	12	12:112509912	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
PTPRD	rs2552124571	9	9:8919432	snv	intron_variant,genic_upstream_transcript_variant
PTPRD	rs2552124498	9	9:8919400	ins	intron_variant,genic_upstream_transcript_variant
PTPRT	rs2547592796	20	20:42771555	snv	intron_variant
PTPRT	rs2544956009	20	20:42348602	snv	intron_variant
PVT1	rs2537995858	8	8:128101180	snv	non_coding_transcript_variant
PVT1	rs2537995798	8	8:128101170	snv	non_coding_transcript_variant
QKI	rs2530832805	6	6:163450400	del	intron_variant
QKI	rs2528704940	6	6:163540728	snv	intron_variant
RAB35	rs2536163316	12	12:120097935	snv	intron_variant
RAB35	rs2503782182	12	12:120116748	snv	5_prime_UTR_variant
RAC1	rs2534052767	7	7:6403929	del	3_prime_UTR_variant
RAC1	rs2534052759	7	7:6403923	snv	3_prime_UTR_variant
RAD21	rs2537320441	8	8:116874763	snv	5_prime_UTR_variant,non_coding_transcript_variant
RAD21	rs2537320433	8	8:116874758	delins	5_prime_UTR_variant,non_coding_transcript_variant
RAD50	rs2479670478	5	5:132605944	snv	intron_variant
RAD50	rs2479670408	5	5:132605869	snv	intron_variant
RAD51	rs2533833175	15	15:40717295	delins	intron_variant
RAD51	rs2530046666	15	15:40698350	snv	genic_upstream_transcript_variant,intron_variant
RAD51B	rs2543052690	14	14:68137458	del	intron_variant
RAD51B	rs2531047031	14	14:67894439	del	intron_variant
RAD51C	rs2527054679	17	17:58715755	snv	genic_downstream_transcript_variant,intron_variant
RAD51C	rs2509373224	17	17:58735595	snv	genic_downstream_transcript_variant,non_coding_transcript_variant,3_prime_UTR_variant,intron_variant
RAD51D	rs2531756793	17	17:35119587	delins	intron_variant,non_coding_transcript_variant,coding_sequence_variant,frameshift_variant
RAD51D	rs2509190980	17	17:35119836	snv	2KB_upstream_variant,genic_upstream_transcript_variant,intron_variant,upstream_transcript_variant,5_prime_UTR_variant
RAF1	rs2470776004	3	3:12664116	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant
RAF1	rs2470775885	3	3:12664110	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant
RANBP2	rs2546918193	2	2:109709370	del	genic_downstream_transcript_variant,intron_variant
RANBP2	rs2546821552	2	2:109672665	snv	genic_downstream_transcript_variant,intron_variant
